latitude,longitude,Year,TMm
-43.00,146.25,2010, 10.47
-43.00,146.25,2020, 10.28
-43.00,146.50,1910,9.93
-43.00,146.50,1920,9.83
-43.00,146.50,1930, 10.00
-43.00,146.50,1940,9.73
-43.00,146.50,1950,9.75
-43.00,146.50,1960,9.79
-43.00,146.50,1970,9.59
-43.00,146.50,1980, 10.43
-43.00,146.50,1990, 10.25
-43.00,146.50,2000, 10.73
-43.00,146.50,2010, 10.49
-43.00,146.50,2020, 10.31
-43.00,146.75,1910,9.34
-43.00,146.75,1920,9.24
-43.00,146.75,1930,9.40
-43.00,146.75,1940,9.15
-43.00,146.75,1950,9.15
-43.00,146.75,1960,9.18
-43.00,146.75,1970,8.99
-43.00,146.75,1980,9.86
-43.00,146.75,1990,9.70
-43.00,146.75,2000, 10.12
-43.00,146.75,2010,9.88
-43.00,146.75,2020,9.72
-43.00,147.00,1910, 10.74
-43.00,147.00,1920, 10.63
-43.00,147.00,1930, 10.79
-43.00,147.00,1940, 10.56
-43.00,147.00,1950, 10.54
-43.00,147.00,1960, 10.56
-43.00,147.00,1970, 10.37
-43.00,147.00,1980, 11.23
-43.00,147.00,1990, 11.08
-43.00,147.00,2000, 11.46
-43.00,147.00,2010, 11.24
-43.00,147.00,2020, 11.09
-43.00,147.25,1910, 11.50
-43.00,147.25,1920, 11.38
-43.00,147.25,1930, 11.54
-43.00,147.25,1940, 11.32
-43.00,147.25,1950, 11.24
-43.00,147.25,1960, 11.26
-43.00,147.25,1970, 11.07
-43.00,147.25,1980, 12.02
-43.00,147.25,1990, 11.86
-43.00,147.25,2000, 12.22
-43.00,147.25,2010, 12.03
-43.00,147.25,2020, 11.90
-43.00,147.75,1910, 12.62
-43.00,147.75,1920, 12.47
-43.00,147.75,1930, 12.63
-43.00,147.75,1940, 12.45
-43.00,147.75,1950, 12.32
-43.00,147.75,1960, 12.32
-43.00,147.75,1970, 12.13
-43.00,147.75,1980, 13.13
-43.00,147.75,1990, 12.93
-43.00,147.75,2000, 13.30
-43.00,147.75,2010, 13.20
-43.00,147.75,2020, 13.08
-43.00,148.00,1910, 12.64
-43.00,148.00,1920, 12.48
-43.00,148.00,1930, 12.64
-43.00,148.00,1940, 12.48
-43.00,148.00,1950, 12.32
-43.00,148.00,1960, 12.30
-43.00,148.00,1970, 12.12
-43.00,148.00,1980, 13.13
-43.00,148.00,1990, 12.90
-43.00,148.00,2000, 13.29
-43.00,148.00,2010, 13.25
-43.00,148.00,2020, 13.13
-42.75,145.25,1910, 11.96
-42.75,145.25,1920, 11.90
-42.75,145.25,1930, 11.91
-42.75,145.25,1940, 11.71
-42.75,145.25,1950, 11.83
-42.75,145.25,1960, 11.90
-42.75,145.25,1970, 11.68
-42.75,145.25,1980, 12.46
-42.75,145.25,1990, 12.29
-42.75,145.25,2000, 12.80
-42.75,145.25,2010, 12.52
-42.75,145.25,2020, 12.53
-42.75,145.50,1910, 10.98
-42.75,145.50,1920, 10.92
-42.75,145.50,1930, 10.95
-42.75,145.50,1940, 10.74
-42.75,145.50,1950, 10.86
-42.75,145.50,1960, 10.95
-42.75,145.50,1970, 10.70
-42.75,145.50,1980, 11.46
-42.75,145.50,1990, 11.25
-42.75,145.50,2000, 11.81
-42.75,145.50,2010, 11.55
-42.75,145.50,2020, 11.50
-42.75,145.75,1910, 10.94
-42.75,145.75,1920, 10.87
-42.75,145.75,1930, 10.93
-42.75,145.75,1940, 10.70
-42.75,145.75,1950, 10.82
-42.75,145.75,1960, 10.90
-42.75,145.75,1970, 10.65
-42.75,145.75,1980, 11.40
-42.75,145.75,1990, 11.16
-42.75,145.75,2000, 11.76
-42.75,145.75,2010, 11.49
-42.75,145.75,2020, 11.38
-42.75,146.00,1910,9.63
-42.75,146.00,1920,9.55
-42.75,146.00,1930,9.64
-42.75,146.00,1940,9.40
-42.75,146.00,1950,9.49
-42.75,146.00,1960,9.55
-42.75,146.00,1970,9.31
-42.75,146.00,1980, 10.07
-42.75,146.00,1990,9.82
-42.75,146.00,2000, 10.42
-42.75,146.00,2010, 10.15
-42.75,146.00,2020,9.99
-42.75,146.25,1910,9.93
-42.75,146.25,1920,9.83
-42.75,146.25,1930,9.96
-42.75,146.25,1940,9.71
-42.75,146.25,1950,9.77
-42.75,146.25,1960,9.82
-42.75,146.25,1970,9.59
-42.75,146.25,1980, 10.39
-42.75,146.25,1990, 10.15
-42.75,146.25,2000, 10.73
-42.75,146.25,2010, 10.45
-42.75,146.25,2020, 10.25
-42.75,146.50,1910,8.90
-42.75,146.50,1920,8.80
-42.75,146.50,1930,8.94
-42.75,146.50,1940,8.71
-42.75,146.50,1950,8.72
-42.75,146.50,1960,8.77
-42.75,146.50,1970,8.55
-42.75,146.50,1980,9.41
-42.75,146.50,1990,9.18
-42.75,146.50,2000,9.71
-42.75,146.50,2010,9.43
-42.75,146.50,2020,9.22
-42.75,146.75,1910,7.56
-42.75,146.75,1920,7.45
-42.75,146.75,1930,7.60
-42.75,146.75,1940,7.38
-42.75,146.75,1950,7.35
-42.75,146.75,1960,7.38
-42.75,146.75,1970,7.17
-42.75,146.75,1980,8.05
-42.75,146.75,1990,7.84
-42.75,146.75,2000,8.33
-42.75,146.75,2010,8.05
-42.75,146.75,2020,7.85
-42.75,147.00,1910, 11.63
-42.75,147.00,1920, 11.51
-42.75,147.00,1930, 11.65
-42.75,147.00,1940, 11.45
-42.75,147.00,1950, 11.39
-42.75,147.00,1960, 11.42
-42.75,147.00,1970, 11.21
-42.75,147.00,1980, 11.98
-42.75,147.00,1990, 11.78
-42.75,147.00,2000, 12.22
-42.75,147.00,2010, 11.96
-42.75,147.00,2020, 11.79
-42.75,147.25,1910, 12.53
-42.75,147.25,1920, 12.39
-42.75,147.25,1930, 12.53
-42.75,147.25,1940, 12.35
-42.75,147.25,1950, 12.24
-42.75,147.25,1960, 12.26
-42.75,147.25,1970, 12.05
-42.75,147.25,1980, 12.95
-42.75,147.25,1990, 12.75
-42.75,147.25,2000, 13.17
-42.75,147.25,2010, 12.93
-42.75,147.25,2020, 12.78
-42.75,147.50,1910, 12.55
-42.75,147.50,1920, 12.39
-42.75,147.50,1930, 12.53
-42.75,147.50,1940, 12.37
-42.75,147.50,1950, 12.24
-42.75,147.50,1960, 12.25
-42.75,147.50,1970, 12.06
-42.75,147.50,1980, 13.01
-42.75,147.50,1990, 12.80
-42.75,147.50,2000, 13.21
-42.75,147.50,2010, 13.01
-42.75,147.50,2020, 12.89
-42.75,147.75,1910, 10.99
-42.75,147.75,1920, 10.80
-42.75,147.75,1930, 10.95
-42.75,147.75,1940, 10.81
-42.75,147.75,1950, 10.65
-42.75,147.75,1960, 10.64
-42.75,147.75,1970, 10.46
-42.75,147.75,1980, 11.40
-42.75,147.75,1990, 11.17
-42.75,147.75,2000, 11.59
-42.75,147.75,2010, 11.45
-42.75,147.75,2020, 11.34
-42.75,148.00,1910, 12.76
-42.75,148.00,1920, 12.56
-42.75,148.00,1930, 12.70
-42.75,148.00,1940, 12.59
-42.75,148.00,1950, 12.40
-42.75,148.00,1960, 12.37
-42.75,148.00,1970, 12.21
-42.75,148.00,1980, 13.16
-42.75,148.00,1990, 12.92
-42.75,148.00,2000, 13.35
-42.75,148.00,2010, 13.27
-42.75,148.00,2020, 13.16
-42.50,145.25,1910, 12.05
-42.50,145.25,1920, 11.98
-42.50,145.25,1930, 11.97
-42.50,145.25,1940, 11.77
-42.50,145.25,1950, 11.92
-42.50,145.25,1960, 11.97
-42.50,145.25,1970, 11.80
-42.50,145.25,1980, 12.59
-42.50,145.25,1990, 12.43
-42.50,145.25,2000, 12.88
-42.50,145.25,2010, 12.54
-42.50,145.25,2020, 12.54
-42.50,145.50,1910, 11.74
-42.50,145.50,1920, 11.69
-42.50,145.50,1930, 11.68
-42.50,145.50,1940, 11.48
-42.50,145.50,1950, 11.65
-42.50,145.50,1960, 11.71
-42.50,145.50,1970, 11.52
-42.50,145.50,1980, 12.30
-42.50,145.50,1990, 12.09
-42.50,145.50,2000, 12.59
-42.50,145.50,2010, 12.27
-42.50,145.50,2020, 12.22
-42.50,145.75,1910,9.52
-42.50,145.75,1920,9.47
-42.50,145.75,1930,9.47
-42.50,145.75,1940,9.28
-42.50,145.75,1950,9.45
-42.50,145.75,1960,9.50
-42.50,145.75,1970,9.28
-42.50,145.75,1980, 10.05
-42.50,145.75,1990,9.81
-42.50,145.75,2000, 10.35
-42.50,145.75,2010, 10.04
-42.50,145.75,2020,9.93
-42.50,146.00,1910, 10.12
-42.50,146.00,1920, 10.04
-42.50,146.00,1930, 10.10
-42.50,146.00,1940,9.87
-42.50,146.00,1950, 10.02
-42.50,146.00,1960, 10.08
-42.50,146.00,1970,9.83
-42.50,146.00,1980, 10.62
-42.50,146.00,1990, 10.36
-42.50,146.00,2000, 10.92
-42.50,146.00,2010, 10.62
-42.50,146.00,2020, 10.45
-42.50,146.25,1910,7.66
-42.50,146.25,1920,7.57
-42.50,146.25,1930,7.67
-42.50,146.25,1940,7.42
-42.50,146.25,1950,7.53
-42.50,146.25,1960,7.58
-42.50,146.25,1970,7.32
-42.50,146.25,1980,8.12
-42.50,146.25,1990,7.85
-42.50,146.25,2000,8.41
-42.50,146.25,2010,8.12
-42.50,146.25,2020,7.90
-42.50,146.50,1910,8.15
-42.50,146.50,1920,8.04
-42.50,146.50,1930,8.16
-42.50,146.50,1940,7.93
-42.50,146.50,1950,7.98
-42.50,146.50,1960,8.03
-42.50,146.50,1970,7.77
-42.50,146.50,1980,8.63
-42.50,146.50,1990,8.36
-42.50,146.50,2000,8.91
-42.50,146.50,2010,8.61
-42.50,146.50,2020,8.37
-42.50,146.75,1910, 11.12
-42.50,146.75,1920, 11.01
-42.50,146.75,1930, 11.14
-42.50,146.75,1940, 10.93
-42.50,146.75,1950, 10.93
-42.50,146.75,1960, 10.97
-42.50,146.75,1970, 10.72
-42.50,146.75,1980, 11.54
-42.50,146.75,1990, 11.29
-42.50,146.75,2000, 11.80
-42.50,146.75,2010, 11.51
-42.50,146.75,2020, 11.28
-42.50,147.00,1910,9.46
-42.50,147.00,1920,9.33
-42.50,147.00,1930,9.46
-42.50,147.00,1940,9.28
-42.50,147.00,1950,9.23
-42.50,147.00,1960,9.26
-42.50,147.00,1970,9.02
-42.50,147.00,1980,9.88
-42.50,147.00,1990,9.64
-42.50,147.00,2000, 10.12
-42.50,147.00,2010,9.83
-42.50,147.00,2020,9.63
-42.50,147.25,1910, 10.05
