latitude,longitude,Year,TXm
-37,146,2020,20.39
-37,146,2021,19.77
-37,146,2022,19.86
-37,147,2000,16.6
-37,147,2001,16.85
-37,147,2002,17.38
-37,147,2003,16.87
-37,147,2004,16.76
-37,147,2005,17.04
-37,147,2006,17.88
-37,147,2007,17.65
-37,147,2008,16.65
-37,147,2009,17.56
-37,147,2010,16.54
-37,147,2011,16.5
-37,147,2012,16.29
-37,147,2013,17.46
-37,147,2014,17.87
-37,147,2015,17.35
-37,147,2016,17.11
-37,147,2017,17.43
-37,147,2018,17.56
-37,147,2019,17.95
-37,147,2020,17.14
-37,147,2021,16.15
-37,147,2022,15.98
-37,148,2000,12.13
-37,148,2001,12.17
-37,148,2002,12.66
-37,148,2003,12.49
-37,148,2004,12.48
-37,148,2005,12.79
-37,148,2006,13.24
-37,148,2007,13.11
-37,148,2008,12.37
-37,148,2009,13.3
-37,148,2010,12.39
-37,148,2011,12.16
-37,148,2012,12.05
-37,148,2013,13.18
-37,148,2014,13.43
-37,148,2015,12.73
-37,148,2016,12.85
-37,148,2017,13.22
-37,148,2018,13.38
-37,148,2019,13.67
-37,148,2020,12.81
-37,148,2021,11.8
-37,148,2022,11.56
-37,149,2000,16.99
-37,149,2001,16.85
-37,149,2002,17.34
-37,149,2003,17.28
-37,149,2004,17.28
-37,149,2005,17.55
-37,149,2006,17.63
-37,149,2007,17.62
-37,149,2008,17.09
-37,149,2009,18.17
-37,149,2010,17.18
-37,149,2011,16.7
-37,149,2012,16.85
-37,149,2013,18
-37,149,2014,17.96
-37,149,2015,17.19
-37,149,2016,17.87
-37,149,2017,17.89
-37,149,2018,18.23
-37,149,2019,18.56
-37,149,2020,17.49
-37,149,2021,16.41
-37,149,2022,15.98
-37,150,2000,20.2
-37,150,2001,20.17
-37,150,2002,20.41
-37,150,2003,19.98
-37,150,2004,20.28
-37,150,2005,20.41
-37,150,2006,20.4
-37,150,2007,20.61
-37,150,2008,20.03
-37,150,2009,20.89
-37,150,2010,20.33
-37,150,2011,20.02
-37,150,2012,20.01
-37,150,2013,21.02
-37,150,2014,20.88
-37,150,2015,20.42
-37,150,2016,21.08
-37,150,2017,20.85
-37,150,2018,20.93
-37,150,2019,21.05
-37,150,2020,20.49
-37,150,2021,19.96
-37,150,2022,19.82
-36,137,2000,19.81
-36,137,2001,19.42
-36,137,2002,19.42
-36,137,2003,19.39
-36,137,2004,19.43
-36,137,2005,19.75
-36,137,2006,19.73
-36,137,2007,20.59
-36,137,2008,19.78
-36,137,2009,20.29
-36,137,2010,19.59
-36,137,2011,19.56
-36,137,2012,20
-36,137,2013,20.51
-36,137,2014,20.29
-36,137,2015,19.97
-36,137,2016,19.41
-36,137,2017,20.34
-36,137,2018,20.33
-36,137,2019,20.45
-36,137,2020,19.34
-36,137,2021,19.41
-36,137,2022,19.25
-36,140,2000,22.31
-36,140,2001,21.73
-36,140,2002,22.15
-36,140,2003,21.74
-36,140,2004,21.82
-36,140,2005,22.23
-36,140,2006,22.34
-36,140,2007,22.92
-36,140,2008,21.96
-36,140,2009,22.62
-36,140,2010,21.67
-36,140,2011,21.9
-36,140,2012,22.22
-36,140,2013,22.69
-36,140,2014,22.95
-36,140,2015,22.5
-36,140,2016,21.85
-36,140,2017,22.54
-36,140,2018,22.79
-36,140,2019,22.61
-36,140,2020,21.7
-36,140,2021,21.89
-36,140,2022,21.49
-36,141,2000,22.53
-36,141,2001,21.98
-36,141,2002,22.62
-36,141,2003,22.05
-36,141,2004,22.07
-36,141,2005,22.47
-36,141,2006,22.86
-36,141,2007,23.18
-36,141,2008,22.12
-36,141,2009,22.93
-36,141,2010,21.75
-36,141,2011,22.1
-36,141,2012,22.4
-36,141,2013,22.75
-36,141,2014,23.27
-36,141,2015,22.75
-36,141,2016,22.09
-36,141,2017,22.69
-36,141,2018,22.97
-36,141,2019,22.88
-36,141,2020,21.83
-36,141,2021,22.1
-36,141,2022,21.47
-36,142,2000,23.39
-36,142,2001,23.01
-36,142,2002,23.78
-36,142,2003,23.02
-36,142,2004,23.15
-36,142,2005,23.49
-36,142,2006,24.02
-36,142,2007,24.18
-36,142,2008,23.2
-36,142,2009,24.14
-36,142,2010,22.8
-36,142,2011,23.18
-36,142,2012,23.4
-36,142,2013,23.79
-36,142,2014,24.33
-36,142,2015,23.75
-36,142,2016,23.14
-36,142,2017,23.89
-36,142,2018,24.24
-36,142,2019,24.05
-36,142,2020,22.93
-36,142,2021,23.22
-36,142,2022,22.37
-36,143,2000,23
-36,143,2001,22.83
